  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.05
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.1
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.15
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.2
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.3
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.4
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.6
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 1.8
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 2
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 2.2
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
# Mach: 2.5
  -0.924700  -0.809100  -0.693500  -0.577900  -0.462300  -0.346800  -0.231200  -0.115600  +0.000000  +0.115600
  +0.231200  +0.346800  +0.462300  +0.577900  +0.693500  +0.809100  +0.924700  +1.040300  +1.155800  +1.271400
  +1.387000  +1.497700  +1.598700  +1.689900  +1.771400  +1.843200  +1.905200  +1.957500  +2.000000  +1.999500
  +1.998000  +1.995500  +1.992000  +1.987500  +1.982000  +1.975500  +1.968000  +1.959500  +1.950000  +1.800000
  +1.550000  +1.200000  +0.750000  -0.450000
#
#-----------------------------------------------------
#     DRAG COEFFICIENT  CD
#-----------------------------------------------------
+1.0   # Table Multiplier
#
# Mach: 0
  +0.041600  +0.033400  +0.026200  +0.020200  +0.015300  +0.011500  +0.008700  +0.007100  +0.006500  +0.007100
  +0.008700  +0.011500  +0.015300  +0.020200  +0.026200  +0.033400  +0.041600  +0.050900  +0.061300  +0.072800
  +0.085400  +0.098500  +0.111300  +0.123600  +0.135200  +0.145800  +0.155300  +0.163600  +0.170500  +0.220500
  +0.245500  +0.262200  +0.274700  +0.284700  +0.293000  +0.300200  +0.306400  +0.312000  +0.317000  +0.342000
  +0.358600  +0.371100  +0.381100  +0.395400
#
# Mach: 0.2
  +0.041600  +0.033400  +0.026200  +0.020200  +0.015300  +0.011500  +0.008700  +0.007100  +0.006500  +0.007100
  +0.008700  +0.011500  +0.015300  +0.020200  +0.026200  +0.033400  +0.041600  +0.050900  +0.061300  +0.072800
  +0.085400  +0.098500  +0.111300  +0.123600  +0.135200  +0.145800  +0.155300  +0.163600  +0.170500  +0.220500
  +0.245500  +0.262200  +0.274700  +0.284700  +0.293000  +0.300200  +0.306400  +0.312000  +0.317000  +0.342000
  +0.358600  +0.371100  +0.381100  +0.395400
#
# Mach: 0.3
  +0.041600  +0.033400  +0.026200  +0.020200  +0.015300  +0.011500  +0.008700  +0.007100  +0.006500  +0.007100
  +0.008700  +0.011500  +0.015300  +0.020200  +0.026200  +0.033400  +0.041600  +0.050900  +0.061300  +0.072800
  +0.085400  +0.098500  +0.111300  +0.123600  +0.135200  +0.145800  +0.155300  +0.163600  +0.170500  +0.220500
  +0.245500  +0.262200  +0.274700  +0.284700  +0.293000  +0.300200  +0.306400  +0.312000  +0.317000  +0.342000
  +0.358600  +0.371100  +0.381100  +0.395400
#
# Mach: 0.4
  +0.041600  +0.033400  +0.026200  +0.020200  +0.015300  +0.011500  +0.008700  +0.007100  +0.006500  +0.007100
  +0.008700  +0.011500  +0.015300  +0.020200  +0.026200  +0.033400  +0.041600  +0.050900  +0.061300  +0.072800
  +0.085400  +0.098500  +0.111300  +0.123600  +0.135200  +0.145800  +0.155300  +0.163600  +0.170500  +0.220500
  +0.245500  +0.262200  +0.274700  +0.284700  +0.293000  +0.300200  +0.306400  +0.312000  +0.317000  +0.342000
  +0.358600  +0.371100  +0.381100  +0.395400
#
# Mach: 0.5
  +0.041600  +0.033400  +0.026200  +0.020200  +0.015300  +0.011500  +0.008700  +0.007100  +0.006500  +0.007100
  +0.008700  +0.011500  +0.015300  +0.020200  +0.026200  +0.033400  +0.041600  +0.050900  +0.061300  +0.072800
  +0.085400  +0.098500  +0.111300  +0.123600  +0.135200  +0.145800  +0.155300  +0.163600  +0.170500  +0.220500
  +0.245500  +0.262200  +0.274700  +0.284700  +0.293000  +0.300200  +0.306400  +0.312000  +0.317000  +0.342000
  +0.358600  +0.371100  +0.381100  +0.395400
#
# Mach: 0.6
  +0.041700  +0.033400  +0.026300  +0.020300  +0.015400  +0.011500  +0.008800  +0.007100  +0.006600  +0.007100
  +0.008800  +0.011500  +0.015400  +0.020300  +0.026300  +0.033400  +0.041700  +0.051000  +0.061400  +0.072900
  +0.085500  +0.098600  +0.111400  +0.123700  +0.135300  +0.145900  +0.155400  +0.163700  +0.170600  +0.220600
  +0.245600  +0.262300  +0.274800  +0.284800  +0.293100  +0.300200  +0.306500  +0.312000  +0.317000  +0.342000
  +0.358700  +0.371200  +0.381200  +0.395500
#
# Mach: 0.7
  +0.041800  +0.033600  +0.026400  +0.020400  +0.015500  +0.011700  +0.008900  +0.007300  +0.006700  +0.007300
  +0.008900  +0.011700  +0.015500  +0.020400  +0.026400  +0.033600  +0.041800  +0.051100  +0.061500  +0.073000
  +0.085600  +0.098700  +0.111500  +0.123800  +0.135400  +0.146000  +0.155500  +0.163800  +0.170700  +0.220700
  +0.245700  +0.262400  +0.274900  +0.284900  +0.293200  +0.300400  +0.306600  +0.312200  +0.317200  +0.342200
  +0.358800  +0.371300  +0.381300  +0.395600
#
# Mach: 0.8
  +0.043500  +0.035300  +0.028200  +0.022200  +0.017200  +0.013400  +0.010700  +0.009000  +0.008500  +0.009000
  +0.010700  +0.013400  +0.017200  +0.022200  +0.028200  +0.035300  +0.043500  +0.052900  +0.063300  +0.074800
  +0.087400  +0.100500  +0.113300  +0.125600  +0.137100  +0.147800  +0.157300  +0.165600  +0.172500  +0.222500
  +0.247500  +0.264200  +0.276700  +0.286700  +0.295000  +0.302100  +0.308400  +0.313900  +0.318900  +0.343900
  +0.360600  +0.373100  +0.383100  +0.397400
#
# Mach: 0.85
  +0.046200  +0.037900  +0.030800  +0.024800  +0.019900  +0.016000  +0.013300  +0.011600  +0.011100  +0.011600
  +0.013300  +0.016000  +0.019900  +0.024800  +0.030800  +0.037900  +0.046200  +0.055500  +0.065900  +0.077400
  +0.090000  +0.103100  +0.115900  +0.128200  +0.139800  +0.150400  +0.159900  +0.168200  +0.175100  +0.225100
  +0.250100  +0.266800  +0.279300  +0.289300  +0.297600  +0.304700  +0.311000  +0.316500  +0.321500  +0.346500
  +0.363200  +0.375700  +0.385700  +0.400000
#
# Mach: 0.9
  +0.049400  +0.041200  +0.034100  +0.028100  +0.023100  +0.019300  +0.016600  +0.014900  +0.014400  +0.014900
  +0.016600  +0.019300  +0.023100  +0.028100  +0.034100  +0.041200  +0.049400  +0.058700  +0.069100  +0.080600
  +0.093200  +0.106300  +0.119100  +0.131500  +0.143000  +0.153600  +0.163200  +0.171500  +0.178400  +0.228400
  +0.253400  +0.270000  +0.282500  +0.292500  +0.300900  +0.308000  +0.314300  +0.319800  +0.324800  +0.349800
  +0.366500  +0.379000  +0.389000  +0.403300
#
# Mach: 0.95
  +0.051400  +0.043200  +0.036000  +0.030000  +0.025100  +0.021200  +0.018500  +0.016900  +0.016300  +0.016900
  +0.018500  +0.021200  +0.025100  +0.030000  +0.036000  +0.043200  +0.051400  +0.060700  +0.071100  +0.082600
  +0.095200  +0.108300  +0.121100  +0.133400  +0.145000  +0.155600  +0.165100  +0.173400  +0.180300  +0.230300
  +0.255300  +0.272000  +0.284500  +0.294500  +0.302800  +0.310000  +0.316200  +0.321800  +0.326800  +0.351800
  +0.368400  +0.380900  +0.390900  +0.405200
#
# Mach: 1
  +0.053000  +0.044800  +0.037700  +0.031600  +0.026700  +0.022900  +0.020100  +0.018500  +0.018000  +0.018500
  +0.020100  +0.022900  +0.026700  +0.031600  +0.037700  +0.044800  +0.053000  +0.062300  +0.072700  +0.084200
  +0.096800  +0.109900  +0.122700  +0.135000  +0.146600  +0.157200  +0.166800  +0.175000  +0.182000  +0.232000
  +0.257000  +0.273600  +0.286100  +0.296100  +0.304500  +0.311600  +0.317800  +0.323400  +0.328400  +0.353400
  +0.370100  +0.382600  +0.392600  +0.406900
#
# Mach: 1.05
  +0.054600  +0.046400  +0.039300  +0.033300  +0.028300  +0.024500  +0.021800  +0.020100  +0.019600  +0.020100
  +0.021800  +0.024500  +0.028300  +0.033300  +0.039300  +0.046400  +0.054600  +0.063900  +0.074400  +0.085900
  +0.098500  +0.111600  +0.124400  +0.136700  +0.148200  +0.158900  +0.168400  +0.176700  +0.183600  +0.233600
  +0.258600  +0.275200  +0.287700  +0.297700  +0.306100  +0.313200  +0.319500  +0.325000  +0.330000  +0.355000
  +0.371700  +0.384200  +0.394200  +0.408500
#
# Mach: 1.1
  +0.055300  +0.047100  +0.040000  +0.033900  +0.029000  +0.025200  +0.022400  +0.020800  +0.020200  +0.020800
  +0.022400  +0.025200  +0.029000  +0.033900  +0.040000  +0.047100  +0.055300  +0.064600  +0.075000  +0.086500
  +0.099100  +0.112200  +0.125000  +0.137300  +0.148900  +0.159500  +0.169100  +0.177300  +0.184200  +0.234200
  +0.259200  +0.275900  +0.288400  +0.298400  +0.306700  +0.313900  +0.320100  +0.325700  +0.330700  +0.355700
  +0.372400  +0.384900  +0.394900  +0.409100
#
# Mach: 1.15
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 1.2
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 1.3
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 1.4
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 1.6
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 1.8
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 2
  +0.055400  +0.047200  +0.040100  +0.034100  +0.029100  +0.025300  +0.022600  +0.020900  +0.020400  +0.020900
  +0.022600  +0.025300  +0.029100  +0.034100  +0.040100  +0.047200  +0.055400  +0.064700  +0.075100  +0.086600
  +0.099200  +0.112300  +0.125200  +0.137500  +0.149000  +0.159700  +0.169200  +0.177500  +0.184400  +0.234400
  +0.259400  +0.276000  +0.288500  +0.298500  +0.306900  +0.314000  +0.320300  +0.325800  +0.330800  +0.355800
  +0.372500  +0.385000  +0.395000  +0.409300
#
# Mach: 2.2
